year;area km²;uf
2021;16,09;Amapá
2021;283,62;Roraima
2021;11,30;Tocantins
2021;892,05;Acre
2021;1.923,32;Mato Grosso
2021;2.164,59;Amazonas
2021;1.641,78;Rondônia
2021;5.084,54;Pará
2021;170,63;Maranhão
2020;660,72;Acre
2020;321,33;Roraima
2020;10,12;Tocantins
2020;10,34;Amapá
2020;1.778,20;Mato Grosso
2020;1.419,94;Amazonas
2020;1.304,44;Rondônia
2020;4.617,23;Pará
2020;226,42;Maranhão
2019;39,06;Amapá
2019;542,66;Roraima
2019;9,62;Tocantins
2019;706,88;Acre
2019;1.826,55;Mato Grosso
2019;1.556,36;Amazonas
2019;165,78;Maranhão
2019;4.459,10;Pará
2019;1.392,69;Rondônia
2018;24,57;Amapá
2018;126,65;Roraima
2018;4,76;Tocantins
2018;426,59;Acre
2018;1.410,51;Mato Grosso
2018;1.051,93;Amazonas
2018;1.206,04;Rondônia
2018;2.603,27;Pará
2018;90,70;Maranhão
2017;1.276,91;Rondônia
2017;121,88;Roraima
2017;12,71;Tocantins
2017;245,65;Acre
2017;1.345,72;Mato Grosso
2017;1.009,73;Amazonas
2017;17,27;Amapá
2017;2.570,76;Pará
2017;151,81;Maranhão
2016;12,41;Amapá
2016;228,40;Roraima
2016;14,93;Tocantins
2016;366,17;Acre
2016;1.370,49;Mato Grosso
2016;1.003,49;Amazonas
2016;1.192,83;Rondônia
2016;2.758,60;Pará
2016;129,77;Maranhão
2015;154,29;Roraima
2015;19,11;Amapá
2015;12,45;Tocantins
2015;222,85;Acre
2015;1.436,37;Mato Grosso
2015;687,57;Amazonas
2015;958,69;Rondônia
2015;2.303,80;Pará
2015;112,06;Maranhão
2014;29,12;Amapá
2014;189,04;Roraima
2014;11,82;Tocantins
2014;348,59;Acre
2014;1.048,60;Mato Grosso
2014;552,16;Amazonas
2014;761,12;Rondônia
2014;1.794,50;Pará
2014;138,62;Maranhão
2013;24,24;Amapá
2013;148,41;Roraima
2013;17,14;Tocantins
2013;200,24;Acre
2013;1.062,98;Mato Grosso
2013;480,79;Amazonas
2013;961,78;Rondônia
2013;2.098,36;Pará
2013;159,10;Maranhão
2012;19,45;Amapá
2012;107,40;Roraima
2012;9,64;Tocantins
2012;113,23;Maranhão
2012;749,30;Mato Grosso
2012;470,77;Amazonas
2012;691,28;Rondônia
2012;1.696,87;Pará
2012;270,51;Acre
2011;16,62;Amapá
2011;129,62;Roraima
2011;10,31;Tocantins
2011;295,55;Acre
2011;1.000,66;Mato Grosso
2011;507,28;Amazonas
2011;762,00;Rondônia
2011;2.506,56;Pará
2011;171,81;Maranhão
2010;265,26;Acre
2010;234,87;Roraima
2010;27,46;Tocantins
2010;72,24;Amapá
2010;717,28;Mato Grosso
2010;545,16;Amazonas
2010;426,34;Rondônia
2010;3.312,15;Pará
2010;242,14;Maranhão
2009;47,46;Amapá
2009;111,24;Roraima
2009;22,18;Tocantins
2009;161,73;Acre
2009;780,38;Mato Grosso
2009;344,31;Amazonas
2009;453,85;Maranhão
2009;3.555,92;Pará
2009;424,59;Rondônia
2008;99,92;Amapá
2008;665,20;Roraima
2008;55,20;Tocantins
2008;288,76;Acre
2008;3.310,05;Mato Grosso
2008;612,15;Amazonas
2008;1.068,62;Rondônia
2008;5.621,75;Pará
2008;723,78;Maranhão